141,106
256,135
700,1
768,7
791,48
899,80
899,18
899,111
899,47
899,19
899,91
899,76
899,24
899,92
1058,46
1376,1
1411,1
1422,71
1422,21
1422,121
1570,64
1664,1
1685,49
1771,28
1920,78
1920,29
1920,16
1920,77
1920,75
1920,59
2033,1
2350,131
2363,1
2736,6
2736,21
2736,121
2780,10
2780,21
2780,121
2928,43
2928,21
2928,121
3009,46
3160,10
3160,21
3160,121
3251,20
3391,21
3391,121
3399,93
3399,21
3399,121
3448,128
4263,1
5064,21
5064,121
5337,64
5512,79
5524,69
5524,21
5524,121
5568,44
5590,68
5590,21
5590,121
5827,1
5934,66
5934,21
5934,121
5967,67
5967,21
5967,121
6045,64
6207,65
6207,21
6207,121
6375,79
6493,88
6509,1
7167,64
7242,56
7242,21
7242,121
7283,44
7820,79
7895,54
7895,21
7895,121
8164,44
8308,51
8308,21
8308,121
8600,1
8694,64
8751,68
8751,21
8751,121
8792,62
9101,22
9272,26
9320,70
9320,21
9320,121
9403,1
9659,89
9757,63
9757,21
9757,121
10186,74
10417,99
10657,97
11001,1
11131,64
11239,5
11239,21
11239,121
11328,1
11504,15
11504,21
11504,121
11593,85
11727,1
11741,21
11741,121
11896,56
11896,21
11896,121
11960,60
11960,21
11960,121
12071,1
12075,55
12544,89
12665,64
12666,64
13022,64
13153,1
13331,1
13335,1
13433,79
13437,132
13437,61
13711,14
13842,64
14153,1
14508,123
14967,14
14973,84
15029,123
15462,9
15468,9
15564,1
15568,1
15730,126
15764,109
15920,34
16068,9
16721,1
17100,128
17247,34
17495,88
17497,88
17604,1
17798,88
18225,1
18269,88
18428,88
18811,72
18953,130
19146,1
19445,130
19547,30
19582,17
19639,12
19639,110
19639,3
19639,25
19688,36
19866,1
19984,1
20034,8
20071,36
20360,17
20411,1
20631,35
20631,125
20749,120
21037,1
21093,1
21110,1
21140,57
21203,1
21458,127
21470,127
21523,37
21862,94
21902,1
22078,94
22228,50
22445,113
22530,37
22541,116
22567,40
22583,113
22768,83
22794,2
23066,83
23081,2
23303,104
23341,104
23376,1
23396,104
23561,1
23773,1
23970,1
23972,1
23985,95
24036,1
24398,53
24401,39
24418,117
24915,115
24937,117
24998,41
25191,1
25273,118
25286,1
25791,1
25897,1
26057,86
26150,102
26150,107
26150,103
26536,1
26554,1
26562,1
26616,1
26617,42
26829,1
26929,1
27128,31
27272,45
27272,112
27272,129
27309,27
27373,1
27701,27
27786,27
27885,90
27893,1
28303,1
28369,1
28544,133
28544,73
28544,32
28983,124
29104,1
29286,52
29553,134
29626,1
29669,1
29683,13
29832,38
29985,1
30453,96
30562,87
31019,113
31398,1
32950,46
32957,46
32995,101
33402,105
33458,4
33458,0
33526,1
33533,46
33591,118
33698,119
33782,108
34197,46
34422,1
34573,118
34827,1
35136,1
35379,1
35661,100
35815,1
35845,1
35900,1
36244,1
36296,98
36314,82
36471,1
36475,1
36741,1
36979,1
37031,118
37119,53
37134,1
37277,82
37351,118
37365,118
37409,82
37647,11
37771,1
37842,1
38042,82
38330,1
38549,1
38572,1
38616,81
38652,58
38736,58
39134,1
39208,114
39259,1
39468,33
39477,122
39550,23
39558,1
